start_date,end_date,state,district,event_name,event_type,crowd_impact,source
2026-01-24,2026-01-25,Andhra Pradesh,Ananthapuramu,Gooty Fort Festival,Tourism District Event,High,Official tourism/government sources; dates where explicitly published
2026-02-13,2026-02-15,Andhra Pradesh,Ananthapuramu,"Santh Sree Sevalal Maharaj Jayanthi, Sevaghad",Cultural Event,High,Official tourism/government sources; dates where explicitly published
2026-05-12,2026-05-17,Andhra Pradesh,Annamayya,Tallapaka Annamacharya Music Festival,Cultural Event,High,Official tourism/government sources; dates where explicitly published
2026-05-11,2026-05-13,Andhra Pradesh,Alluri Sitharama Raju,Modakondamma Jatra,Endowment Event,High,Official tourism/government sources; dates where explicitly published
2026-01-31,2026-02-02,Andhra Pradesh,Alluri Sitharama Raju,Araku Balloon Festival & Chali Festival,Tourism Mega Event,High,Official tourism/government sources; dates where explicitly published
2026-04-08,2026-04-08,Andhra Pradesh,Bapatla,Bhavanasi Narasimha Swamy Festival,Endowment Event,High,Official tourism/government sources; dates where explicitly published
2026-09-13,2026-09-15,Andhra Pradesh,Visakhapatnam,IATO Annual Convention 2026,Tourism Convention,Medium,Official tourism/government sources; dates where explicitly published
2026-10-11,2026-10-20,Andhra Pradesh,NTR,Vijayawada Utsav 2026,Tourism/Cultural Festival,High,Official tourism/government sources; dates where explicitly published
2026-07-01,2026-08-31,Telangana,Hyderabad,Bonalu Festival Season,Festival Season,High,Official tourism/government sources; dates where explicitly published
2026-10-01,2026-10-18,Telangana,Hyderabad,Bathukamma Festival Season,Festival Season,High,Official tourism/government sources; dates where explicitly published
2026-02-01,2026-02-04,Telangana,Jayashankar Bhupalpally,Sammakka Saralamma (Medaram) Jatara,Tribal Festival,High,Official tourism/government sources; dates where explicitly published
